番号,追加日,モチーフ名,実機体数,機体名,縦(m),横(m),奥行(m),総尺(s),機体数(切上げ),季節,カテゴリー,人気,備考,,,,,,,,,,,
1,2025-05-09,HappyNewYear,500,EMO,,,,,500,winter,text,,,,,,,,,,,,,
2,2025-05-09,サンタクロース,500,EMO,,,,,500,winter,character,,,,,,,,,,,,,
3,2025-05-09,スノーマン(3D),500,EMO,,,,,500,winter,character,,,,,,,,,,,,,
4,2025-05-09,メリークリスマス,500,EMO,,,,,500,winter,text,,,,,,,,,,,,,
5,2025-05-09,ツリー,500,EMO,,,,,500,winter,plant,,,,,,,,,,,,,
7,2025-05-09,ハロウィン,500,EMO,,,,,500,autumn,food,,,,,,,,,,,,,
8,2025-05-09,桜(3D),500,EMO,,,,,500,spring,plant,,,,,,,,,,,,,
9,2025-05-09,カウントダウン,500,EMO,,,,,500,winter,text,,,,,,,,,,,,,
10,2025-05-09,サンタとトナカイ,300,EMO,,,,,300,winter,character,,,,,,,,,,,,,
11,2025-05-09,大仏,300,EMO,,,,,300,none,building,,,,,,,,,,,,,
12,2025-05-09,ダルマ,300,EMO,,,,,300,winter,character,,,,,,,,,,,,,
13,2025-05-09,ビール,300,EMO,,,,,300,summer,food,,,,,,,,,,,,,
14,2025-05-09,富士山1,300,EMO,,,,,300,spring,nature,,,,,,,,,,,,,
15,2025-05-09,ゴースト,300,EMO,,,,,300,autumn,character,,,,,,,,,,,,,
16,2025-05-09,ゴーストハウス,300,EMO,,,,,300,autumn,building,,,,,,,,,,,,,
17,2025-05-09,富士山2,300,EMO,,,,,300,winter,nature,,,,,,,,,,,,,
18,2025-05-09,HALLOWEENlogo,300,EMO,,,,,300,autumn,text,,,,,,,,,,,,,
19,2025-05-09,鳥居,300,EMO,,,,,300,autumn,building,,,,,,,,,,,,,
20,2025-05-09,謹賀新年,300,EMO,,,,,300,winter,text,,,,,,,,,,,,,
21,2025-05-09,うちわ,300,EMO,,,,,300,summer,object,,,,,,,,,,,,,
22,2025-05-09,パンプキン,300,EMO,88,111,56,,300,autumn,food,,,,,,,,,,,,,
23,2025-05-09,飛行機,300,EMO,,,,,300,none,building,,,,,,,,,,,,,
24,2025-05-09,サークル,100,EMO,30,30,7,,100,none,symbol,,,,,,,,,,,,,
25,2025-05-09,3-2-1-0,100,EMO,,,,,100,none,text,,,,,,,,,,,,,
26,2025-05-09,リング,100,EMO,,,,,100,none,symbol,,,,,,,,,,,,,
27,2025-05-09,リング(横),100,EMO,,,,,100,none,symbol,,,,,,,,,,,,,
28,2025-05-09,上から降る粒子,100,EMO,,,,,100,none,symbol,,,,,,,,,,,,,
29,2025-05-09,キューブ,100,EMO,,,,,100,none,symbol,,,,,,,,,,,,,
30,2025-05-09,球体,100,EMO,32,32,32,,100,none,symbol,,,,,,,,,,,,,
31,2025-05-09,END,100,EMO,,,,,100,none,text,,,,,,,,,,,,,
32,2025-05-09,天使,300,EMO,,,,,300,none,character,,,,,,,,,,,,,
33,2025-05-09,ハート_BLOOM,300,EMO,,,,,300,winter,symbol,,,,,,,,,,,,,
34,2025-05-09,ハート_3D,300,EMO,,,,,300,winter,symbol,,,,,,,,,,,,,
35,2025-05-09,チョコ～ハート,300,EMO,,,,,300,winter,food,,,,,,,,,,,,,
36,2025-05-09,214_バラ,300,EMO,108,67,1,,300,winter,text,,,,,,,,,,,,,
37,2025-05-09,HAPPY_VALENTINE,300,EMO,,,,,300,winter,text,,,,,,,,,,,,,
38,2025-05-09,SPECIALTHANKS,300,EMO,,,,,300,none,text,,,,,,,,,,,,,
39,2025-05-09,キュン,300,EMO,78,82,1,,300,winter,symbol,,,,,,,,,,,,,
40,2025-05-09,龍,400,EMO,83,66,6,,400,winter,animal,,,,,,,,,,,,,
41,2025-05-09,風船,300,EMO,,,,,300,summer,object,,,,,,,,,,,,,
42,2025-05-09,日本島,100,EMO,,,,,100,none,nature,,,,,,,,,,,,,
43,2025-05-09,射撃,200,EMO,134,100,31,,200,summer,object,,,,,,,,,,,,,
44,2025-05-09,クレープ,300,EMO,70,51,9,,300,summer,food,,,,,,,,,,,,,
45,2026-02-03,吹き流し,,,,,,,,,,,,,,,,,,,,,,
46,2025-05-09,鼓(3D),400,EMO,,,,,400,,,,素材未格納,,,,,,,,,,,
47,2025-05-09,金魚,200,EMO,,,,,200,,,,素材未格納,,,,,,,,,,,
48,2025-05-09,トナカイ,400,EMO,,,,,400,,,,素材未格納,,,,,,,,,,,
49,2025-05-09,紅葉,300,EMO,,,,,300,,,,素材未格納,,,,,,,,,,,
50,2025-05-09,酒,300,EMO,,,,,300,spring,food,,,,,,,,,,,,,
51,2025-05-09,花火,300,EMO,,,,,300,summer,object,,,,,,,,,,,,,
52,2025-05-09,靴下,300,EMO,,,,,300,winter,object,,,,,,,,,,,,,
53,2025-05-09,夏祭り,300,EMO,,,,,300,summer,object,,,,,,,,,,,,,
54,2025-05-09,スイカと向日葵,300,EMO,,,,,300,summer,food,,,,,,,,,,,,,
55,2025-05-09,靴下1,300,EMO,,,,,300,winter,character,,,,,,,,,,,,,
56,2025-05-09,たんぽぽ,300,EMO,,,,,300,spring,plant,,,,,,,,,,,,,
57,2025-05-09,春,300,EMO,,,,,300,spring,nature,,,,,,,,,,,,,
58,2025-05-09,扇子,300,EMO,,,,,300,summer,object,,,,,,,,,,,,,
59,2026-02-03,カササギ,,,,,,,,,,,,,,,,,,,,,,
60,2025-05-09,氷,300,EMO,,,,,300,summer,object,,,,,,,,,,,,,
61,2025-05-09,傘,300,EMO,,,,,300,summer,object,,,,,,,,,,,,,
62,2025-05-09,凧,300,EMO,,,,,300,winter,object,,,,,,,,,,,,,
63,2025-05-09,節分,200,EMO,,,,,200,winter,character,,,,,,,,,,,,,
